title,artist,duration
Savana,Chris Lake,2:30
Lipstick,Alaia & Gallo,3:02
Selection,NO SIGNE,2:45
Bright Lights,Castion, Krozz,2:36
Night Moves,Joshwa, Enzo is Burning,3:22
5 AM (feat. K. Flay),SomethingALaMode, K.Flay,3:36
Let You In (feat. East Forest),ANNA, East Forest,5:56
La Danse de Forêt,Peyruis,1:43
Kalash Hyperpop,Veridis Project,3:59
Vois sur ton chemin,John Revox,3:30
